ticker,company name,Company,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3,Location_HQ,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised,Stage,Date_Added,Country,List_of_Employees_Laid_Off
ADBE,Adobe Inc.,Adobe,Application Software,"Adobe Systems Inc offers a line of software and services for content creation and the measurement of digital advertising and marketing. Its software applications includes Photoshop and Lightroom, Adobe Analytics, Media Optimizer and Campaign Manager.",http://www.adobe.com,ADBE.png,Shantanu Narayen,Nasdaq Global Select,1.24243E+11,Technology,Technology,Software - Application,Application Software,SF Bay Area,Marketing,100,,12/6/2022,https://www.bloomberg.com/news/articles/2022-12-06/adobe-cuts-100-jobs-concentrated-in-sales-as-tech-tightens-belt,2,Post-IPO,12/7/2022 6:30,United States,Unknown
ADSK,Autodesk Inc.,Autodesk,Application Software,Autodesk Inc is engaged in the software industry. It develops software for a number of markets such as construction and media.,http://www.autodesk.com,ADSK.png,Andrew Anagnost,Nasdaq Global Select,33199549449,Technology,Technology,Software - Application,Application Software,SF Bay Area,Other,250,0.02,2/2/2023,https://www.bloomberg.com/news/articles/2023-02-03/autodesk-layoffs-hit-250-jobs-joining-tech-industry-peers,,Post-IPO,2/3/2023 15:59,United States,Unknown
APRN,Blue Apron Holdings Inc. Class A,Blue Apron,Retail - Apparel & Specialty,"Blue Apron Holdings Inc creates original recipes, which are sent along with fresh, seasonal ingredients, directly to customers for them to prepare, cook, and enjoy.",http://www.blueapron.com,APRN.png,Bradley J. Dickerson,New York Stock Exchange,267373180,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty,New York City,Food,,0.1,12/8/2022,https://investors.blueapron.com/press-releases/2022/12-08-2022-140712547,352,Post-IPO,12/8/2022 17:06,United States,Unknown
BILI,Bilibili Inc.,Bilibili,Online Media,"Bilibili Inc is a full-spectrum online entertainment company that covers a range of genres and media formats, including videos, live broadcasting and mobile games.",https://www.bilibili.com,,Rui Chen,Nasdaq Global Select,3418188069,Technology,Technology,Internet Content & Information,Online Media,Shanghai,Media,,0.3,12/27/2022,https://technode.com/2022/12/27/bilibili-reportedly-cuts-30-of-staff-across-operations-gaming-and-streaming-units/,3700,Post-IPO,12/30/2022 15:59,China,Unknown
BL,BlackLine Inc.,BlackLine,Application Software,"BlackLine Inc provides cloud-based software platform designed to transform and modernize accounting and finance operations for organizations of all types and sizes. Its products include journal entry, account reconciliations, and task management.",https://www.blackline.com,,Therese Tucker,Nasdaq Global Select,2673230318,Technology,Technology,Software - Infrastructure,Application Software,Los Angeles,Finance,95,0.05,12/8/2022,https://seekingalpha.com/news/3915452-blackline-to-cut-jobs-by-5-globally-sec-filing,220,Private Equity,12/11/2022 6:15,United States,Unknown
BLKB,Blackbaud Inc.,Blackbaud,Application Software,"Blackbaud Inc provides cloud software, services, expertise, and data intelligence. It provides its services to nonprofits, foundations, corporations, education institutions, healthcare institutions, and the individual change agents who support them.",http://www.blackbaud.com,BLKB.png,Michael P. Gianoni,Nasdaq Global Select,3403231512,Technology,Technology,Software - Application,Application Software,Charleston,Other,500,0.14,,https://www.postandcourier.com/business/sc-tech-employer-blackbaud-has-cut-about-500-jobs-since-last-year/article_ef9dd60a-ac9b-11ed-8c4a-bbbeb9f0cda5.html,,Post-IPO,2/15/2023 19:06,United States,Unknown
CARG,CarGurus Inc.,CarGurus,Online Media,"CarGurus Inc is an online automotive marketplace connecting buyers and sellers of new and used cars. It operates online marketplaces in Canada, the United Kingdom, and Germany.",http://www.cargurus.com,CARG.png,Langley Steinert,Nasdaq Global Select,4671712315,Technology,Technology,Internet Content & Information,Online Media,Boston,Transportation,130,0.13,4/16/2020,https://layoffs.fyi/2020/05/04/cargurus-laid-off-130-employees/,1,Post-IPO,4/16/2020 23:46,United States,Unknown
CDLX,Cardlytics Inc.,Cardlytics,Online Media,Cardlytics Inc is an operator of purchase intelligence platform. It solution Cardlytics Direct enables marketers to deliver advertising content to FI customers in the form of an opportunity to earn rewards.,http://www.cardlytics.com,CDLX.png,Scott D. Grimes,NASDAQ Global Market,350720370,Technology,Technology,Internet Content & Information,Online Media,Atlanta,Marketing,51,,11/14/2022,https://www.marketscreener.com/quote/stock/CARDLYTICS-INC-40680969/news/Cardlytics-to-Terminate-51-Employees-Appoints-John-Balen-Chairman-Shares-up-After-Hours-42312731/,212,Post-IPO,11/15/2022 4:36,United States,Unknown
CDXS,Codexis Inc.,Codexis,Biotechnology,Codexis Inc is a biotech company. It develops proprietary biocatalysts-enzymes or microbes that initiate or accelerate chemical reactions. It offers its products to the pharmaceutical industry. The company also develops advanced biofuels.,http://www.codexis.com,CDXS.png,John J. Nicols,Nasdaq Global Select,1055474555,Healthcare,Healthcare,Biotechnology,,SF Bay Area,Healthcare,,0.18,11/29/2022,https://www.codexis.com/investors/news-events/press-releases/detail/342/codexis-provides-update-on-prioritized-corporate-strategy,162,Post-IPO,11/30/2022 6:17,United States,Unknown
CELH,Celsius Holdings Inc.,Celsius,Beverages - Non-Alcoholic,"Celsius Holdings Inc is engaged in the development, marketing, sale and distribution of functional calorie-burning fitness beverages under the Celsius brand name.",http://www.celsius.com,CELH.png,John Fieldly,NASDAQ Capital Market,211166152,Consumer Defensive,Consumer Defensive,Beverages - Soft Drinks,Beverages - Non-Alcoholic,New York City,Crypto,150,0.25,7/3/2022,https://www.calcalistech.com/ctechnews/article/syvuxha99,864,Series B,7/4/2022 15:15,United States,Unknown
